Pub	Rrobenname	Ca_mol/L	Mg_mol/L	Na_mol/L	K_mol/L	HCO3_mol/L	Cl_mol/L	SO4_mol/L		Ca_p	Mg_p	Na_p	K_p	HCO3_p	Cl_p	SO4_p
2014 Graly et al	GL10-1C1	0,0000422	0,0000278	0,0000326	0,0000383	0,0000000	0,0000000	0,0000000		40,02	26,36	15,46	18,16			
2014 Graly et al	GL10-1C2	0,0001310	0,0000886	0,0000629	0,0000756	0,0003750	0,0000141	0,0000073		45,35	30,67	10,89	13,09	92,90	3,49	3,61
2014 Graly et al	GL10-1D1	0,0000175	0,0000071	0,0000247	0,0000172	0,0000597	0,0000000	0,0000000		38,42	15,59	27,11	18,88	100,00	0,00	0,00
2014 Graly et al	GL10-1D2	0,0000219	0,0000119	0,0000271	0,0000180	0,0000931	0,0000141	0,0000021		38,86	21,12	24,05	15,97	83,60	12,66	3,74
2014 Graly et al	GL10-1E1	0,0000101	0,0000043	0,0000077	0,0000079	0,0000348	0,0000000	0,0000000		45,52	19,24	17,37	17,87	100,00	0,00	0,00
2014 Graly et al	GL10-2D1	0,0000102	0,0000066	0,0000102	0,0000157	0,0000397	0,0000000	0,0000000		34,32	22,11	17,16	26,41	100,00	0,00	0,00
2014 Graly et al	GL11-1B1	0,0002080	0,0000458	0,0001710	0,0000793	0,0004990	0,0000193	0,0000661		54,89	12,09	22,56	10,46	76,71	2,97	20,32
2014 Graly et al	GL11-1B2	0,0000166	0,0000027	0,0000147	0,0000079	0,0000555	0,0000000	0,0000075		54,24	8,82	24,02	12,92	78,79	0,00	21,21
2014 Graly et al	GL11-1C1	0,0000011	0,0000004	0,0000024	0,0000010	0,0000036	0,0000000	0,0000016		34,58	12,15	37,69	15,58	52,20	0,00	47,80
2014 Graly et al	GL11-1C2	0,0000213	0,0000048	0,0000176	0,0000111	0,0000454	0,0000102	0,0000070		52,62	11,93	21,74	13,71	65,21	14,65	20,14
2014 Graly et al	GL11-1C3	0,0000207	0,0000046	0,0000151	0,0000093	0,0000452	0,0000075	0,0000079		55,27	12,20	20,16	12,36	65,89	10,96	23,15
2014 Graly et al	GL11-2C1	0,0001930	0,0002520	0,0002930	0,0001730	0,0004400	0,0000106	0,0000525		28,47	37,17	21,61	12,76	79,19	1,91	18,90
2014 Graly et al	GL12-2A1	0,0001680	0,0000172	0,0001475	0,0001160	0,0005760	0,0000114	0,0000348		53,01	5,43	23,27	18,30	87,67	1,74	10,59
2014 Graly et al	GL12-2B1	0,0000176	0,0000000	0,0000851	0,0000368	0,0001120	0,0000114	0,0000080		22,41	0,00	54,17	23,42	80,34	8,18	11,48
2014 Graly et al	GL12-2C1	0,0000189	0,0000000	0,0000926	0,0000975	0,0001690	0,0000114	0,0000083		16,59	0,00	40,63	42,78	85,76	5,79	8,45
2014 Graly et al	GL12-2D2	0,0001680	0,0000125	0,0001080	0,0002200	0,0005650	0,0000114	0,0000676		48,77	3,63	15,67	31,93	79,40	1,60	19,00
2018 Deuerling et al	WR6-PWC-20	0,0003149	0,0000457	0,0000791	0,0000938	0,0003985	0,0000273	0,0002006		70,44	10,22	8,85	10,49	48,19	3,30	48,51
2018 Deuerling et al	WR6-PWC-45	0,0002629	0,0000391	0,0000761	0,0000768	0,0005939	0,0000143	0,0001072		69,47	10,33	10,05	10,15	72,20	1,74	26,06
2018 Deuerling et al	WR6-PWC-69	0,0003362	0,0000494	0,0000831	0,0000854	0,0005475	0,0000230	0,0001474		71,55	10,51	8,84	9,09	63,27	2,66	34,07
2018 Deuerling et al	WR6-PWC-97	0,0005471	0,0000926	0,0000707	0,0001079	0,0007393	0,0000477	0,0002928		75,05	12,70	4,85	7,40	53,86	3,48	42,66
2018 Deuerling et al	WR6-PWD-20	0,0003535	0,0000515	0,0000813	0,0000935	0,0004674	0,0000404	0,0001752		71,79	10,46	8,26	9,49	54,46	4,71	40,83
2018 Deuerling et al	WR6-PWD-45	0,0003833	0,0000593	0,0000835	0,0000946	0,0004912	0,0000481	0,0001913		72,10	11,15	7,85	8,90	53,28	5,22	41,50
2018 Deuerling et al	WR6-PWD-69	0,0004508	0,0000708	0,0000941	0,0001007	0,0005802	0,0000572	0,0002320		72,83	11,44	7,60	8,13	52,68	5,19	42,13
2018 Deuerling et al	WR6-PWD-96	0,0006087	0,0000978	0,0000859	0,0001091	0,0007033	0,0000802	0,0003382		75,71	12,16	5,34	6,78	48,17	5,49	46,33
2018 Deuerling et al	WR6-PWE-20	0,0007132	0,0001093	0,0000718	0,0001387	0,0006667	0,0000796	0,0004913		76,87	11,78	3,87	7,48	38,56	4,60	56,83
2018 Deuerling et al	WR6-PWE-45	0,0005842	0,0000922	0,0000616	0,0001104	0,0006546	0,0000463	0,0003410		76,63	12,09	4,04	7,24	47,34	3,35	49,32
2018 Deuerling et al	WR6-PWE-69	0,0005228	0,0000853	0,0000601	0,0000944	0,0006529	0,0000261	0,0002767		76,28	12,45	4,38	6,89	52,98	2,12	44,91
2018 Deuerling et al	WRK-PWA-20	0,0001202	0,0000265	0,0000196	0,0000670	0,0001955	0,0000081	0,0000742		63,26	13,95	5,16	17,63	55,54	2,29	42,16
2018 Deuerling et al	WRK-PWA-46	0,0003069	0,0000640	0,0000558	0,0000922	0,0004981	0,0000224	0,0002361		68,98	14,39	6,27	10,36	50,18	2,26	47,57
2018 Deuerling et al	WRK-PWA-69	0,0010537	0,0002128	0,0002014	0,0001949	0,0008873	0,0002440	0,0009114		71,94	14,53	6,88	6,65	30,04	8,26	61,70
2018 Deuerling et al	WRK-PWA-87	0,0011285	0,0002282	0,0002999	0,0002006	0,0009955	0,0003402	0,0009716		70,23	14,20	9,33	6,24	30,36	10,38	59,26
2018 Deuerling et al	WRK-PWB-20	0,0004132	0,0000724	0,0000678	0,0001282	0,0004180	0,0000208	0,0003317		70,80	12,41	5,81	10,98	37,92	1,89	60,19
2018 Deuerling et al	WRK-PWB-45	0,0007285	0,0001285	0,0001479	0,0001711	0,0006475	0,0000949	0,0006180		71,67	12,64	7,27	8,42	32,73	4,80	62,47
2018 Deuerling et al	WRK-PWB-68	0,0010466	0,0001958	0,0002300	0,0002037	0,0008337	0,0002356	0,0009253		71,72	13,42	7,88	6,98	28,55	8,07	63,38
2018 Deuerling et al	WRK-PWC-20	0,0009202	0,0003338	0,0003393	0,0001858	0,0009396	0,0002089	0,0009909		60,68	22,01	11,19	6,13	30,02	6,67	63,31
2018 Deuerling et al	WRK-PWC-45	0,0004964	0,0004705	0,0004434	0,0001293	0,0009929	0,0003711	0,0006950		39,61	37,54	17,69	5,16	36,05	13,48	50,47
2018 Deuerling et al	WRK-PWC-69	0,0005121	0,0004940	0,0004688	0,0001325	0,0008241	0,0004243	0,0007254		39,19	37,80	17,94	5,07	30,53	15,72	53,75
2014 Hindshaw et al	0705am	67,70	22,90	110,10	58,40	212,40	6,40	33,00		38,72	13,10	31,48	16,70	74,58	2,25	23,17
